epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3477479491222214;0.8756897;0.4813150822754264;0.8242702348628302;0.48968293910417715;0.88006157;0.7120419;0.9913345;0.13688979;0.8749224;0.4870635137414904;0.8274564170788412;0.309587799822004;0.48623853211009177;0.8793378;0.7037037;0.9913855;0.13073395
1;0.3232496180080294;0.87616646;0.4906896205538563;0.831372449359469;0.505533199195171;0.8829038;0.6764092;0.9877895;0.16305989;0.877095;0.48980017388721275;0.8292288770194355;0.30605316022671136;0.505720823798627;0.8844916;0.6754386;0.9867193;0.17660551
2;0.3167615800697069;0.88100266;0.5088238639192755;0.8373662697560931;0.5065392354124748;0.90272975;0.61009175;0.9665196;0.3346754;0.8783364;0.4994097429155781;0.8342037843213447;0.3015898875984659;0.5045871559633027;0.9049391;0.58270675;0.96015793;0.35550457
3;0.3138466459418519;0.8833867;0.5296429029527039;0.843119337454919;0.5093105183694011;0.8912641;0.71251935;0.9853474;0.23200805;0.8808194;0.5196773249186398;0.84010814228416;0.2964859474970642;0.5194508009153318;0.8922273;0.6625;0.98061734;0.24311927
4;0.30778367323415856;0.8815476;0.5432523220767068;0.8472991571415556;0.5198792148968294;0.88408947;0.7952381;0.99322516;0.16809261;0.8814401;0.5296695052214934;0.8430619677680671;0.29649452608677634;0.5137614678899083;0.8852564;0.7647059;0.9913855;0.17889908
5;0.3060584038265867;0.8864519;0.5492666193470092;0.8512486709539214;0.5264217413185707;0.89921075;0.68390805;0.9783362;0.2994464;0.88112974;0.5283782959329285;0.8430273912155797;0.29829845615748773;0.5091743119266054;0.89692765;0.63589746;0.97451544;0.28440368
6;0.3042151860293417;0.8861113;0.5461135954892358;0.8522812413347862;0.5223955712128837;0.8970461;0.6966292;0.9808571;0.28082538;0.88392305;0.5264185064516447;0.8458519662532847;0.2923269680036957;0.5136363636363637;0.8972332;0.6666667;0.9777459;0.28440368
7;0.30378177121340494;0.8884953;0.565203314894362;0.860475515619131;0.5400100654252642;0.90052885;0.6993166;0.97920275;0.30900857;0.8851645;0.5406811289996958;0.8510368026238665;0.28771999886249033;0.5091743119266054;0.9002651;0.6617647;0.9752333;0.30963302
8;0.2981318469808839;0.8877461;0.5689780481811699;0.8629002491299796;0.5439919557566616;0.894331;0.7511111;0.9867654;0.25515854;0.88857853;0.5458180418949404;0.8501229937367045;0.28822059140608297;0.5022727272727273;0.8969578;0.73333335;0.98420674;0.27752292
9;0.295802847100562;0.8879504;0.5706027284613776;0.8641639381360916;0.5372233400402414;0.91040784;0.64016396;0.9654167;0.39305484;0.8829919;0.5405430331867211;0.8532077161693132;0.2889644154650983;0.5159817351598174;0.9095546;0.6049822;0.96015793;0.38990825
10;0.29582959013264637;0.8899258;0.5803284923226649;0.8653675232163307;0.5465525918470056;0.90359956;0.6938349;0.9769182;0.33417213;0.88764745;0.5523988133192839;0.8541281110664727;0.28439171506585653;0.5091743119266054;0.9045394;0.6637168;0.97272074;0.3440367
